Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LoadTestUsers:Main Application URI,20,439,421,453,519,985,185,985,5.000%,11.54068,105.69,1.30
TOTAL,20,439,421,453,519,985,185,985,5.000%,11.54068,105.69,1.30
