Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Browser Category,100,6286,6287,7140,7570,7807,4774,8428,17.000%,10.96972,5410.75,141.69
TOTAL,100,6286,6287,7140,7570,7807,4774,8428,17.000%,10.96972,5410.75,141.69
